"DeptCodeDW","Province","2010-11","2011-12","2010-11","2011-12","2012-13"
"CCMD","PE",1,1,1,1,0
"CCMD","NL",1,4,1,4,1
"CCMD","Abroad",0,0,0,0,0
"CCRA","NU",0,0,0,0,0
"CCRA","NT",0,0,0,0,0
"CCRA","YT",0,1,0,1,0
"CCRA","BC",4765,4970,4765,4970,4823
"CCRA","AB",2643,2568,2643,2568,2558
"CCRA","SK",623,619,623,619,593
"CCRA","MB",2891,2809,2891,2809,2616
"CCRA","NCR ON",11744,11675,11744,11675,11125
"CCRA","NCR QC",125,135,125,135,137
"CCRA","ON (minus NCR)",9959,10557,9959,10557,10391
"CCRA","QC (minus NCR)",5498,5469,5498,5469,5269
"CCRA","NB",610,615,610,615,622
"CCRA","NS",705,722,705,722,709
"CCRA","PE",968,1118,968,1118,1117
"CCRA","NL",1322,1410,1322,1410,1296
"CCRA","Abroad",0,0,0,0,0
"CDC","NU",0,0,0,0,0
"CDC","NT",0,0,0,0,0
"CDC","YT",0,0,0,0,0
"CDC","BC",0,0,0,0,0
"CDC","AB",0,0,0,0,0
"CDC","SK",0,0,0,0,0
"CDC","MB",0,0,0,0,0
"CDC","NCR ON",61,63,61,63,59
"CDC","NCR QC",0,0,0,0,0
"CDC","ON (minus NCR)",0,0,0,0,0
"CDC","QC (minus NCR)",0,0,0,0,0
"CDC","NB",0,0,0,0,0
"CDC","NS",0,0,0,0,0
"CDC","PE",0,0,0,0,0
"CDC","NL",0,0,0,0,0
"CDC","Abroad",0,0,0,0,0
"CEAA","NU",0,0,0,0,0
"CEAA","NT",0,0,0,0,0
"CEAA","YT",0,0,0,0,0
"CEAA","BC",26,28,26,28,26
"CEAA","AB",9,10,9,10,6
"CEAA","SK",0,0,0,0,0
"CEAA","MB",9,9,9,9,8
"CEAA","NCR ON",146,146,146,146,137
"CEAA","NCR QC",3,4,3,4,3
"CEAA","ON (minus NCR)",24,22,24,22,20
"CEAA","QC (minus NCR)",11,11,11,11,9
"CEAA","NB",0,0,0,0,0
"CEAA","NS",12,10,12,10,10
"CEAA","PE",0,0,0,0,0
"CEAA","NL",0,0,0,0,0
"CEAA","Abroad",0,0,0,0,0
"CEO","NU",0,0,0,0,0
"CEO","NT",0,0,0,0,0
"CEO","YT",0,0,0,0,0
"CEO","BC",0,0,0,0,0
"CEO","AB",1,0,1,0,0
"CEO","SK",0,0,0,0,0
"CEO","MB",0,0,0,0,0
"CEO","NCR ON",704,528,704,528,493
"CEO","NCR QC",1,0,1,0,2
"CEO","ON (minus NCR)",0,0,0,0,0
"CEO","QC (minus NCR)",0,0,0,0,0
"CEO","NB",0,0,0,0,0
"CEO","NS",0,0,0,0,0
"CEO","PE",0,0,0,0,0
"CEO","NL",0,0,0,0,0
"CEO","Abroad",0,0,0,0,0
"CFGB","NU",0,0,0,0,0
"CFGB","NT",0,0,0,0,0
"CFGB","YT",0,0,0,0,0
"CFGB","BC",0,0,0,0,0
"CFGB","AB",0,0,0,0,0
"CFGB","SK",0,0,0,0,0
"CFGB","MB",0,0,0,0,0
"CFGB","NCR ON",37,36,37,36,38
"CFGB","NCR QC",0,0,0,0,0
"CFGB","ON (minus NCR)",0,0,0,0,0
"CFGB","QC (minus NCR)",0,0,0,0,0
"CFGB","NB",0,0,0,0,0
