"DeptCodeDW","Age Band","2010-11","2011-12","2010-11","2011-12","2012-13"
"MPCC","< 20",0,0,0,0,0
"MPCC","20-24",1,0,1,0,0
"MPCC","25-29",3,2,3,2,3
"MPCC","30-34",3,4,3,4,4
"MPCC","35-39",1,3,1,3,4
"MPCC","40-44",2,3,2,3,3
"MPCC","45-49",2,1,2,1,2
"MPCC","50-54",1,2,1,2,0
"MPCC","55-59",0,0,0,0,1
"MPCC","60-64",1,1,1,1,1
"MPCC","65-69",0,0,0,0,0
"MPCC","Missing",0,0,0,0,0
"ND","< 20",35,56,35,56,45
"ND","20-24",733,657,733,657,470
"ND","25-29",1765,1536,1765,1536,1251
"ND","30-34",2576,2191,2576,2191,1906
"ND","35-39",2899,2652,2899,2652,2412
"ND","40-44",3468,3126,3468,3126,2823
"ND","45-49",5629,5071,5629,5071,4327
"ND","50-54",5991,5679,5991,5679,5538
"ND","55-59",3876,3899,3876,3899,3856
"ND","60-64",1742,1730,1742,1730,1697
"ND","65-69",455,475,455,475,503
"ND","70 +",96,104,96,104,111
"ND","Missing",0,1,0,1,0
"NEB","< 20",0,0,0,0,0
"NEB","20-24",10,10,10,10,5
"NEB","25-29",35,32,35,32,36
"NEB","30-34",49,52,49,52,52
"NEB","35-39",57,53,57,53,57
"NEB","40-44",43,45,43,45,56
"NEB","45-49",56,64,56,64,61
"NEB","50-54",66,66,66,66,64
"NEB","55-59",44,45,44,45,47
"NEB","60-64",23,22,23,22,23
"NEB","65-69",5,6,5,6,7
"NEB","70 +",1,1,1,1,1
"NEB","Missing",0,0,0,0,0
"NFB","< 20",0,0,0,0,0
"NFB","20-24",5,2,5,2,15
"NFB","25-29",27,29,27,29,29
"NFB","30-34",59,74,59,74,71
"NFB","35-39",62,69,62,69,78
"NFB","40-44",59,65,59,65,76
"NFB","45-49",66,62,66,62,64
"NFB","50-54",64,67,64,67,73
"NFB","55-59",45,38,45,38,39
"NFB","60-64",17,17,17,17,17
"NFB","65-69",2,0,2,0,2
"NFB","70 +",1,2,1,2,2
"NFB","Missing",0,0,0,0,0
"NPA","< 20",0,0,0,0,0
"NPA","20-24",0,0,0,0,0
"NPA","25-29",0,0,0,0,0
"NPA","30-34",1,0,1,0,0
"NPA","35-39",0,0,0,0,0
"NPA","40-44",0,0,0,0,0
"NPA","45-49",0,0,0,0,0
"NPA","50-54",1,0,1,0,0
"NPA","55-59",0,0,0,0,0
"NPA","60-64",0,0,0,0,0
"NPA","65-69",0,0,0,0,0
"NPA","Missing",0,0,0,0,0
"NPB","< 20",1,0,1,0,0
"NPB","20-24",11,13,11,13,16
"NPB","25-29",35,32,35,32,44
"NPB","30-34",35,40,35,40,50
"NPB","35-39",42,47,42,47,51
"NPB","40-44",59,53,59,53,52
"NPB","45-49",59,62,59,62,68
"NPB","50-54",64,70,64,70,69
"NPB","55-59",65,68,65,68,64
"NPB","60-64",30,33,30,33,29
"NPB","65-69",8,10,8,10,10
"NPB","70 +",0,0,0,0,1
"NPB","Missing",0,0,0,0,0
"NR","< 20",28,18,28,18,14
"NR","20-24",227,176,227,176,168
"NR","25-29",398,326,398,326,276
"NR","30-34",524,484,524,484,457
"NR","35-39",568,553,568,553,525
"NR","40-44",566,553,566,553,559
"NR","45-49",724,677,724,677,606
"NR","50-54",888,837,888,837,795
"NR","55-59",638,638,638,638,591
"NR","60-64",252,273,252,273,260
"NR","65-69",97,95,97,95,81
"NR","70 +",27,29,27,29,29
"NR","Missing",0,0,0,0,0
"NRC","< 20",13,5,13,5,2
"NRC","20-24",106,65,106,65,45
"NRC","25-29",213,161,213,161,118
"NRC","30-34",433,357,433,357,297
"NRC","35-39",535,509,535,509,448
"NRC","40-44",652,602,652,602,508
"NRC","45-49",764,695,764,695,632
"NRC","50-54",714,725,714,725,684
"NRC","55-59",469,475,469,475,458
"NRC","60-64",234,218,234,218,212
"NRC","65-69",108,102,108,102,87
"NRC","70 +",20,31,20,31,34
"NRC","Missing",0,0,0,0,0
"NRTEE","< 20",0,0,0,0,0
"NRTEE","20-24",0,0,0,0,0
"NRTEE","25-29",3,3,3,3,0
"NRTEE","30-34",5,5,5,5,0
"NRTEE","35-39",7,6,7,6,0
"NRTEE","40-44",3,5,3,5,0
"NRTEE","45-49",7,6,7,6,0
"NRTEE","50-54",2,3,2,3,0
"NRTEE","55-59",2,2,2,2,2
"NRTEE","60-64",2,2,2,2,1
"NRTEE","65-69",0,0,0,0,0
"NRTEE","Missing",0,0,0,0,0
"NSERC","< 20",2,0,2,0,1
"NSERC","20-24",26,26,26,26,16
"NSERC","25-29",36,41,36,41,40
"NSERC","30-34",64,62,64,62,56
"NSERC","35-39",71,65,71,65,61
"NSERC","40-44",56,56,56,56,63
"NSERC","45-49",73,69,73,69,59
"NSERC","50-54",59,67,59,67,72
"NSERC","55-59",25,24,25,24,27
"NSERC","60-64",14,12,14,12,10
"NSERC","65-69",2,1,2,1,1
"NSERC","70 +",0,1,0,1,1
"NSERC","Missing",0,0,0,0,0
"OAG","< 20",0,0,0,0,0
"OAG","20-24",45,40,45,40,24
"OAG","25-29",105,106,105,106,93
"OAG","30-34",89,83,89,83,95
"OAG","35-39",82,103,82,103,90
"OAG","40-44",76,63,76,63,72
"OAG","45-49",86,95,86,95,91
"OAG","50-54",98,91,98,91,77
"OAG","55-59",63,60,63,60,55
"OAG","60-64",14,9,14,9,13
"OAG","65-69",1,3,1,3,1
"OAG","70 +",1,0,1,0,0
"OAG","Missing",0,0,0,0,0
"OCI","< 20",0,0,0,0,0
"OCI","20-24",1,0,1,0,2
"OCI","25-29",6,6,6,6,5
"OCI","30-34",8,7,8,7,4
"OCI","35-39",2,4,2,4,6
"OCI","40-44",7,4,7,4,7
"OCI","45-49",6,4,6,4,4
"OCI","50-54",1,2,1,2,3
"OCI","55-59",0,1,0,1,2
"OCI","60-64",0,0,0,0,0
"OCI","65-69",0,0,0,0,0
"OCI","Missing",0,0,0,0,0
"OCOL","< 20",0,0,0,0,1
"OCOL","20-24",7,13,7,13,3
"OCOL","25-29",15,13,15,13,14
"OCOL","30-34",22,23,22,23,26
"OCOL","35-39",21,23,21,23,24
"OCOL","40-44",26,19,26,19,22
"OCOL","45-49",18,24,18,24,20
"OCOL","50-54",24,22,24,22,24
"OCOL","55-59",23,18,23,18,12
"OCOL","60-64",5,7,5,7,15
"OCOL","65-69",2,2,2,2,1
"OCOL","70 +",1,1,1,1,0
"OCOL","Missing",0,0,0,0,0
"ODPP","< 20",1,0,1,0,0
"ODPP","20-24",16,20,16,20,19
"ODPP","25-29",72,79,72,79,80
"ODPP","30-34",135,127,135,127,133
"ODPP","35-39",138,155,138,155,158
"ODPP","40-44",177,174,177,174,166
"ODPP","45-49",136,144,136,144,156
"ODPP","50-54",107,115,107,115,102
"ODPP","55-59",82,84,82,84,96
"ODPP","60-64",16,19,16,19,28
"ODPP","65-69",6,11,6,11,13
"ODPP","70 +",1,2,1,2,3
"ODPP","Missing",0,0,0,0,0
"OICC","< 20",2,0,2,0,1
"OICC","20-24",22,18,22,18,7
"OICC","25-29",84,69,84,69,54
"OICC","30-34",63,68,63,68,55
"OICC","35-39",66,67,66,67,71
"OICC","40-44",49,50,49,50,47
"OICC","45-49",31,30,31,30,28
"OICC","50-54",34,25,34,25,26
"OICC","55-59",15,17,15,17,15
"OICC","60-64",5,3,5,3,3
"OICC","65-69",2,1,2,1,1
"OICC","Missing",0,0,0,0,0
"OPSIC","< 20",0,0,0,0,0
"OPSIC","20-24",0,0,0,0,1
"OPSIC","25-29",2,5,2,5,4
"OPSIC","30-34",3,0,3,0,2
"OPSIC","35-39",5,4,5,4,6
"OPSIC","40-44",0,0,0,0,1
"OPSIC","45-49",6,6,6,6,5
"OPSIC","50-54",6,9,6,9,8
"OPSIC","55-59",4,4,4,4,3
"OPSIC","60-64",0,1,0,1,1
"OPSIC","65-69",1,1,1,1,0
"OPSIC","Missing",0,0,0,0,0
"ORL","< 20",0,0,0,0,0
"ORL","20-24",0,0,0,0,0
"ORL","25-29",3,4,3,4,4
"ORL","30-34",2,3,2,3,2
"ORL","35-39",2,2,2,2,5
"ORL","40-44",3,3,3,3,3
"ORL","45-49",6,7,6,7,5
"ORL","50-54",7,6,7,6,6
"ORL","55-59",3,2,3,2,1
"ORL","60-64",0,1,0,1,0
"ORL","65-69",1,0,1,0,0
"ORL","Missing",0,0,0,0,0
"OSFI","< 20",0,0,0,0,0
"OSFI","20-24",8,9,8,9,7
"OSFI","25-29",36,41,36,41,49
"OSFI","30-34",71,59,71,59,66
"OSFI","35-39",83,93,83,93,92
"OSFI","40-44",85,92,85,92,104
"OSFI","45-49",84,87,84,87,92
"OSFI","50-54",103,109,103,109,95
"OSFI","55-59",57,71,57,71,85
"OSFI","60-64",28,35,28,35,39
"OSFI","65-69",5,5,5,5,9
"OSFI","70 +",2,2,2,2,0
"OSFI","Missing",0,0,0,0,0
"PCA","< 20",9,4,9,4,10
"PCA","20-24",143,72,143,72,46
"PCA","25-29",280,211,280,211,126
"PCA","30-34",432,392,432,392,287
"PCA","35-39",519,487,519,487,407
"PCA","40-44",526,525,526,525,415
"PCA","45-49",642,606,642,606,501
"PCA","50-54",798,739,798,739,596
"PCA","55-59",558,562,558,562,387
"PCA","60-64",186,183,186,183,124
"PCA","65-69",27,32,27,32,22
"PCA","70 +",7,8,7,8,2
"PCA","Missing",0,0,0,0,0
"PCC","< 20",1,0,1,0,0
"PCC","20-24",9,10,9,10,8
"PCC","25-29",4,6,4,6,5
"PCC","30-34",4,2,4,2,6
"PCC","35-39",1,2,1,2,5
"PCC","40-44",9,8,9,8,8
"PCC","45-49",7,5,7,5,6
"PCC","50-54",7,10,7,10,12
"PCC","55-59",12,9,12,9,9
"PCC","60-64",2,2,2,2,1
"PCC","65-69",1,1,1,1,0
"PCC","Missing",0,0,0,0,0
"PCO","< 20",2,2,2,2,1
"PCO","20-24",61,42,61,42,17
"PCO","25-29",90,98,90,98,65
"PCO","30-34",126,111,126,111,90
"PCO","35-39",132,122,132,122,109
"PCO","40-44",137,129,137,129,123
"PCO","45-49",130,139,130,139,120
"PCO","50-54",144,138,144,138,129
"PCO","55-59",64,65,64,65,61
"PCO","60-64",25,33,25,33,29
"PCO","65-69",8,12,8,12,8
"PCO","70 +",2,1,2,1,2
"PCO","Missing",0,0,0,0,0
"PHAC","< 20",6,5,6,5,1
"PHAC","20-24",154,100,154,100,73
"PHAC","25-29",357,318,357,318,175
"PHAC","30-34",419,413,419,413,316
"PHAC","35-39",442,445,442,445,344
"PHAC","40-44",395,390,395,390,337
"PHAC","45-49",414,389,414,389,333
"PHAC","50-54",335,338,335,338,291
"PHAC","55-59",250,251,250,251,185
"PHAC","60-64",95,101,95,101,82
"PHAC","65-69",26,26,26,26,21
"PHAC","70 +",4,3,4,3,5
"PHAC","Missing",0,0,0,0,0
"PMPRB","< 20",0,0,0,0,0
"PMPRB","20-24",4,2,4,2,3
"PMPRB","25-29",9,5,9,5,4
"PMPRB","30-34",8,6,8,6,5
"PMPRB","35-39",12,7,12,7,7
"PMPRB","40-44",4,6,4,6,7
"PMPRB","45-49",7,7,7,7,5
"PMPRB","50-54",13,9,13,9,9
"PMPRB","55-59",6,11,6,11,9
"PMPRB","60-64",2,2,2,2,3
"PMPRB","65-69",0,0,0,0,0
"PMPRB","70 +",1,1,1,1,1
"PMPRB","Missing",0,0,0,0,0
"PSC","< 20",5,2,5,2,1
"PSC","20-24",37,37,37,37,14
"PSC","25-29",92,78,92,78,66
"PSC","30-34",125,131,125,131,106
"PSC","35-39",121,129,121,129,126
"PSC","40-44",125,132,125,132,125
"PSC","45-49",132,150,132,150,137
"PSC","50-54",183,166,183,166,160
"PSC","55-59",119,103,119,103,89
"PSC","60-64",45,41,45,41,34
"PSC","65-69",8,3,8,3,4
"PSC","70 +",4,3,4,3,3
"PSC","Missing",0,0,0,0,0
"PSEP","< 20",1,2,1,2,1
"PSEP","20-24",59,47,59,47,42
"PSEP","25-29",161,155,161,155,155
"PSEP","30-34",160,152,160,152,159
"PSEP","35-39",198,188,198,188,188
"PSEP","40-44",143,157,143,157,164
"PSEP","45-49",149,141,149,141,139
"PSEP","50-54",126,136,126,136,130
"PSEP","55-59",89,89,89,89,89
"PSEP","60-64",35,35,35,35,36
"PSEP","65-69",6,8,6,8,8
"PSEP","70 +",0,3,0,3,1
"PSEP","Missing",0,0,0,0,0
"PSSRB","< 20",0,2,0,2,0
"PSSRB","20-24",6,5,6,5,5
"PSSRB","25-29",15,10,15,10,13
"PSSRB","30-34",8,13,8,13,15
"PSSRB","35-39",8,11,8,11,9
"PSSRB","40-44",6,8,6,8,12
"PSSRB","45-49",15,10,15,10,10
"PSSRB","50-54",15,16,15,16,14
"PSSRB","55-59",9,7,9,7,10
"PSSRB","60-64",3,3,3,3,5
"PSSRB","65-69",2,2,2,2,3
"PSSRB","70 +",1,1,1,1,0
"PSSRB","Missing",0,0,0,0,0
"PSST","< 20",0,0,0,0,0
"PSST","20-24",0,1,0,1,0
"PSST","25-29",1,1,1,1,0
"PSST","30-34",2,0,2,0,0
"PSST","35-39",3,4,3,4,2
"PSST","40-44",7,7,7,7,6
"PSST","45-49",5,5,5,5,6
"PSST","50-54",6,6,6,6,6
"PSST","55-59",12,12,12,12,10
"PSST","60-64",3,2,3,2,2
"PSST","65-69",0,0,0,0,0
"PSST","70 +",1,0,1,0,0
"PSST","Missing",0,0,0,0,0
"RCMP","< 20",6,9,6,9,2
"RCMP","20-24",154,150,154,150,88
"RCMP","25-29",543,518,543,518,413
"RCMP","30-34",653,683,653,683,674
"RCMP","35-39",740,745,740,745,759
"RCMP","40-44",867,892,867,892,868
"RCMP","45-49",1019,1009,1019,1009,975
"RCMP","50-54",1136,1107,1136,1107,1077
"RCMP","55-59",682,742,682,742,739
"RCMP","60-64",291,292,291,292,309
"RCMP","65-69",42,49,42,49,50
"RCMP","70 +",14,14,14,14,17
"RCMP","Missing",0,0,0,0,0
"RPSDP","< 20",0,0,0,0,1
"RPSDP","20-24",0,2,0,2,3
"RPSDP","25-29",0,0,0,0,0
"RPSDP","30-34",0,0,0,0,1
"RPSDP","35-39",0,0,0,0,1
"RPSDP","40-44",0,0,0,0,0
"RPSDP","45-49",2,2,2,2,1
"RPSDP","50-54",1,1,1,1,1
"RPSDP","55-59",1,2,1,2,1
"RPSDP","60-64",0,0,0,0,0
"RPSDP","65-69",0,0,0,0,0
"RPSDP","Missing",0,0,0,0,0
"RSCT","< 20",0,0,0,0,0
"RSCT","20-24",0,0,0,0,0
"RSCT","25-29",1,0,1,0,0
"RSCT","30-34",4,5,4,5,4
"RSCT","35-39",1,1,1,1,1
"RSCT","40-44",2,4,2,4,2
"RSCT","45-49",0,0,0,0,2
"RSCT","50-54",0,1,0,1,1
"RSCT","55-59",1,0,1,0,0
"RSCT","60-64",0,0,0,0,0
"RSCT","65-69",0,0,0,0,0
"RSCT","Missing",0,0,0,0,0
"SC","< 20",57,57,57,57,10
"SC","20-24",428,421,428,421,175
"SC","25-29",778,712,778,712,485
"SC","30-34",848,827,848,827,638
"SC","35-39",959,954,959,954,787
"SC","40-44",1098,1029,1098,1029,898
"SC","45-49",1178,1158,1178,1158,981
"SC","50-54",1251,1248,1251,1248,1046
"SC","55-59",889,863,889,863,613
"SC","60-64",446,467,446,467,346
"SC","65-69",141,156,141,156,119
"SC","70 +",32,35,32,35,33
"SC","Missing",0,0,0,0,0
"SCC","< 20",2,1,2,1,1
"SCC","20-24",15,15,15,15,11
"SCC","25-29",27,31,27,31,33
"SCC","30-34",18,24,18,24,19
"SCC","35-39",25,29,25,29,26
"SCC","40-44",30,29,30,29,26
"SCC","45-49",33,29,33,29,24
"SCC","50-54",29,31,29,31,38
"SCC","55-59",21,30,21,30,24
"SCC","60-64",13,11,13,11,15
"SCC","65-69",2,2,2,2,5
"SCC","70 +",4,4,4,4,3
"SCC","Missing",0,0,0,0,0
"SHARE","< 20",0,0,0,0,3
"SHARE","20-24",0,0,0,0,104
"SHARE","25-29",0,0,0,0,283
"SHARE","30-34",0,0,0,0,520
"SHARE","35-39",0,0,0,0,760
"SHARE","40-44",0,0,0,0,862
"SHARE","45-49",0,0,0,0,964
"SHARE","50-54",0,0,0,0,1022
"SHARE","55-59",0,0,0,0,543
"SHARE","60-64",0,0,0,0,184
"SHARE","65-69",0,0,0,0,40
"SHARE","70 +",0,0,0,0,14
"SHARE","Missing",0,0,0,0,0
"SIRC","< 20",0,0,0,0,0
"SIRC","20-24",0,0,0,0,0
"SIRC","25-29",0,0,0,0,1
"SIRC","30-34",2,2,2,2,2
"SIRC","35-39",4,3,4,3,3
"SIRC","40-44",2,3,2,3,1
"SIRC","45-49",4,7,4,7,4
"SIRC","50-54",1,1,1,1,4
"SIRC","55-59",1,0,1,0,0
"SIRC","60-64",1,1,1,1,0
"SIRC","65-69",0,0,0,0,0
"SIRC","Missing",0,0,0,0,0
"SSHRC","< 20",2,0,2,0,1
"SSHRC","20-24",6,4,6,4,4
"SSHRC","25-29",24,23,24,23,17
"SSHRC","30-34",42,39,42,39,31
"SSHRC","35-39",32,35,32,35,43
"SSHRC","40-44",31,32,31,32,30
"SSHRC","45-49",29,30,29,30,32
"SSHRC","50-54",31,30,31,30,26
"SSHRC","55-59",15,13,15,13,10
"SSHRC","60-64",4,7,4,7,4
"SSHRC","65-69",0,0,0,0,1
"SSHRC","Missing",0,0,0,0,0
"SWC","< 20",0,0,0,0,1
"SWC","20-24",7,8,7,8,6
"SWC","25-29",12,13,12,13,10
"SWC","30-34",13,8,13,8,10
"SWC","35-39",11,12,11,12,21
"SWC","40-44",8,11,8,11,10
"SWC","45-49",11,9,11,9,9
"SWC","50-54",23,19,23,19,19
"SWC","55-59",12,13,12,13,12
"SWC","60-64",3,4,3,4,1
"SWC","65-69",2,1,2,1,1
"SWC","Missing",0,0,0,0,0
"TBC","< 20",3,4,3,4,3
"TBC","20-24",126,89,126,89,72
"TBC","25-29",247,237,247,237,171
"TBC","30-34",321,290,321,290,266
"TBC","35-39",295,307,295,307,283
"TBC","40-44",283,260,283,260,272
"TBC","45-49",309,298,309,298,254
"TBC","50-54",317,331,317,331,290
"TBC","55-59",200,177,200,177,167
"TBC","60-64",59,66,59,66,65
"TBC","65-69",14,12,14,12,16
"TBC","70 +",3,2,3,2,1
"TBC","Missing",0,0,0,0,0
"TC","< 20",12,2,12,2,7
"TC","20-24",194,133,194,133,78
"TC","25-29",403,362,403,362,270
"TC","30-34",559,566,559,566,453
"TC","35-39",560,575,560,575,544
"TC","40-44",722,696,722,696,622
"TC","45-49",913,893,913,893,784
"TC","50-54",987,951,987,951,932
"TC","55-59",748,727,748,727,665
"TC","60-64",348,353,348,353,305
"TC","65-69",86,92,86,92,91
"TC","70 +",21,20,21,20,27
"TC","Missing",0,0,0,0,0
"TRC","< 20",0,0,0,0,0
"TRC","20-24",1,1,1,1,0
"TRC","25-29",2,2,2,2,1
"TRC","30-34",6,4,6,4,2
"TRC","35-39",7,7,7,7,2
"TRC","40-44",9,6,9,6,3
"TRC","45-49",6,9,6,9,5
"TRC","50-54",2,7,2,7,5
"TRC","55-59",4,5,4,5,3
"TRC","60-64",4,4,4,4,3
"TRC","65-69",2,1,2,1,1
"TRC","70 +",0,1,0,1,0
"TRC","Missing",0,0,0,0,0
"VAC","< 20",19,9,19,9,9
"VAC","20-24",151,119,151,119,120
"VAC","25-29",204,160,204,160,150
"VAC","30-34",338,307,338,307,281
"VAC","35-39",445,413,445,413,377
"VAC","40-44",526,515,526,515,475
"VAC","45-49",723,668,723,668,611
"VAC","50-54",807,813,807,813,730
"VAC","55-59",559,535,559,535,516
"VAC","60-64",265,247,265,247,256
"VAC","65-69",36,40,36,40,60
"VAC","70 +",16,13,16,13,17
"VAC","Missing",0,0,0,0,0
"WDO","< 20",0,2,0,2,2
"WDO","20-24",38,13,38,13,12
"WDO","25-29",59,43,59,43,20
"WDO","30-34",63,56,63,56,45
"WDO","35-39",45,50,45,50,46
"WDO","40-44",45,46,45,46,37
"WDO","45-49",65,53,65,53,49
"WDO","50-54",67,67,67,67,57
"WDO","55-59",65,63,65,63,44
"WDO","60-64",27,22,27,22,17
"WDO","65-69",5,4,5,4,5
"WDO","70 +",0,0,0,0,1
"WDO","Missing",0,0,0,0,0
"FPCC","< 20",0,0,0,0,0
"FPCC","20-24",0,0,0,0,0
"FPCC","25-29",1,1,1,1,2
"FPCC","30-34",1,2,1,2,2
"FPCC","35-39",2,1,2,1,0
"FPCC","40-44",2,2,2,2,2
"FPCC","45-49",2,3,2,3,2
"FPCC","50-54",3,3,3,3,5
"FPCC","55-59",2,1,2,1,0
"FPCC","60-64",3,3,3,3,3
"FPCC","65-69",0,0,0,0,0
"FPCC","Missing",0,0,0,0,0
"IOG","< 20",0,0,0,0,0
"IOG","20-24",0,0,0,0,0
"IOG","25-29",3,3,3,3,3
"IOG","30-34",3,2,3,2,5
"IOG","35-39",6,7,6,7,7
"IOG","40-44",13,13,13,13,12
"IOG","45-49",17,18,17,18,21
"IOG","50-54",13,8,13,8,9
"IOG","55-59",13,16,13,16,15
"IOG","60-64",7,8,7,8,6
"IOG","65-69",2,4,2,4,5
"IOG","70 +",0,0,0,0,1
"IOG","Missing",0,0,0,0,0
