"DeptCodeDW","Age Band","2010-11","2011-12","2010-11","2011-12","2012-13"
"CEAA","35-39",47,39,47,39,40
"CEAA","40-44",33,39,33,39,41
"CEAA","45-49",27,29,27,29,28
"CEAA","50-54",30,33,30,33,29
"CEAA","55-59",13,14,13,14,13
"CEAA","60-64",8,5,8,5,8
"CEAA","65-69",4,4,4,4,3
"CEAA","70 +",0,1,0,1,0
"CEAA","Missing",0,0,0,0,0
"CEO","< 20",1,2,1,2,0
"CEO","20-24",53,31,53,31,19
"CEO","25-29",97,57,97,57,44
"CEO","30-34",72,65,72,65,56
"CEO","35-39",98,68,98,68,78
"CEO","40-44",91,89,91,89,73
"CEO","45-49",81,77,81,77,76
"CEO","50-54",81,67,81,67,73
"CEO","55-59",70,49,70,49,52
"CEO","60-64",42,15,42,15,21
"CEO","65-69",14,6,14,6,2
"CEO","70 +",6,2,6,2,1
"CEO","Missing",0,0,0,0,0
"CFGB","< 20",0,0,0,0,0
"CFGB","20-24",1,0,1,0,0
"CFGB","25-29",2,1,2,1,2
"CFGB","30-34",3,4,3,4,2
"CFGB","35-39",3,4,3,4,6
"CFGB","40-44",6,4,6,4,5
"CFGB","45-49",5,5,5,5,4
"CFGB","50-54",12,9,12,9,14
"CFGB","55-59",3,7,3,7,2
"CFGB","60-64",2,1,2,1,2
"CFGB","65-69",0,1,0,1,1
"CFGB","Missing",0,0,0,0,0
"CFIA","< 20",4,1,4,1,3
"CFIA","20-24",199,165,199,165,105
"CFIA","25-29",622,544,622,544,477
"CFIA","30-34",994,981,994,981,878
"CFIA","35-39",911,955,911,955,967
"CFIA","40-44",857,839,857,839,874
"CFIA","45-49",1032,989,1032,989,902
"CFIA","50-54",1051,1044,1051,1044,978
"CFIA","55-59",705,726,705,726,729
"CFIA","60-64",247,266,247,266,260
"CFIA","65-69",57,56,57,56,68
"CFIA","70 +",9,14,9,14,13
"CFIA","Missing",0,0,0,0,0
"CGC","< 20",0,0,0,0,0
"CGC","20-24",15,16,15,16,8
"CGC","25-29",51,57,51,57,40
"CGC","30-34",70,71,70,71,54
"CGC","35-39",78,76,78,76,73
"CGC","40-44",70,78,70,78,78
"CGC","45-49",107,94,107,94,86
"CGC","50-54",148,166,148,166,141
"CGC","55-59",82,81,82,81,92
"CGC","60-64",28,33,28,33,41
"CGC","65-69",6,7,6,7,11
"CGC","70 +",0,1,0,1,1
"CGC","Missing",0,0,0,0,0
"CH","< 20",0,1,0,1,5
"CH","20-24",63,62,63,62,50
"CH","25-29",161,133,161,133,98
"CH","30-34",279,266,279,266,197
"CH","35-39",288,295,288,295,309
"CH","40-44",302,289,302,289,262
"CH","45-49",310,279,310,279,261
"CH","50-54",338,335,338,335,324
"CH","55-59",215,208,215,208,160
"CH","60-64",90,92,90,92,66
"CH","65-69",16,15,16,15,15
"CH","70 +",4,6,4,6,6
"CH","Missing",0,0,0,0,0
"CHRC","< 20",0,2,0,2,1
"CHRC","20-24",8,5,8,5,7
"CHRC","25-29",20,19,20,19,18
"CHRC","30-34",17,20,17,20,26
"CHRC","35-39",27,32,27,32,27
"CHRC","40-44",22,18,22,18,22
"CHRC","45-49",35,44,35,44,42
"CHRC","50-54",38,31,38,31,34
"CHRC","55-59",18,23,18,23,22
"CHRC","60-64",10,12,10,12,12
"CHRC","65-69",2,3,2,3,4
"CHRC","Missing",0,0,0,0,0
"CHRT","< 20",0,0,0,0,0
"CHRT","20-24",0,0,0,0,0
"CHRT","25-29",4,3,4,3,3
"CHRT","30-34",5,3,5,3,2
"CHRT","35-39",3,3,3,3,5
"CHRT","40-44",2,2,2,2,2
"CHRT","45-49",4,6,4,6,5
"CHRT","50-54",2,3,2,3,3
"CHRT","55-59",2,0,2,0,1
"CHRT","60-64",1,0,1,0,0
"CHRT","65-69",0,0,0,0,0
"CHRT","Missing",0,0,0,0,0
"CI","< 20",5,14,5,14,30
"CI","20-24",232,247,232,247,257
"CI","25-29",539,545,539,545,500
"CI","30-34",788,736,788,736,717
"CI","35-39",625,680,625,680,709
"CI","40-44",628,636,628,636,635
"CI","45-49",723,702,723,702,652
"CI","50-54",693,685,693,685,656
"CI","55-59",504,502,504,502,436
"CI","60-64",208,220,208,220,202
"CI","65-69",42,40,42,40,48
"CI","70 +",9,10,9,10,8
"CI","Missing",0,0,0,0,0
"CICS","< 20",0,0,0,0,0
"CICS","20-24",0,0,0,0,0
"CICS","25-29",6,3,6,3,3
"CICS","30-34",1,2,1,2,2
"CICS","35-39",0,0,0,0,0
"CICS","40-44",1,1,1,1,1
"CICS","45-49",3,2,3,2,2
"CICS","50-54",7,6,7,6,6
"CICS","55-59",2,3,2,3,4
"CICS","60-64",4,3,4,3,3
"CICS","65-69",0,1,0,1,2
"CICS","Missing",0,0,0,0,0
"CIDA","< 20",0,1,0,1,0
"CIDA","20-24",81,58,81,58,42
"CIDA","25-29",191,150,191,150,127
"CIDA","30-34",276,235,276,235,205
"CIDA","35-39",260,284,260,284,257
"CIDA","40-44",290,260,290,260,243
"CIDA","45-49",261,266,261,266,248
"CIDA","50-54",293,282,293,282,254
"CIDA","55-59",208,194,208,194,144
"CIDA","60-64",93,87,93,87,55
"CIDA","65-69",25,23,25,23,16
"CIDA","70 +",2,3,2,3,4
"CIDA","Missing",0,0,0,0,0
"CIHR","< 20",1,0,1,0,0
"CIHR","20-24",12,5,12,5,5
"CIHR","25-29",57,38,57,38,30
"CIHR","30-34",81,72,81,72,63
"CIHR","35-39",81,76,81,76,72
