"Organizations",,"Expenditures for fiscal year 2010-11","Expenditures for fiscal year  2011-12","Expenditures for fiscal year 2010-11","Expenditures for fiscal year  2011-12","Expenditures for fiscal year 2012-13"
"ECBC",12,"83,070,000","77,191,000","83,070,000","77,191,000","60,667,000"
"EC",1,"660,655,898","640,073,358","660,655,898","640,073,358","625,694,678"
"EC",2,"56,656,633","47,025,149","56,656,633","47,025,149","36,624,426"
"EC",3,"3,116,365","2,688,661","3,116,365","2,688,661","3,848,463"
"EC",4,"145,788,258","126,097,007","145,788,258","126,097,007","122,306,417"
"EC",5,"22,508,033","22,315,066","22,508,033","22,315,066","24,322,366"
"EC",6,"19,207,273","21,566,523","19,207,273","21,566,523","18,574,686"
"EC",7,"36,198,057","34,673,913","36,198,057","34,673,913","37,953,528"
"EC",8,"1,374,822","1,800,289","1,374,822","1,800,289","1,521,789"
"EC",9,"62,776,394","60,451,772","62,776,394","60,451,772","48,732,329"
"EC",10,"137,173,872","106,167,146","137,173,872","106,167,146","127,684,210"
"EC",12,"5,668,206","4,071,661","5,668,206","4,071,661","8,384,802"
"EC",21,"-38,727,224","-36,939,941","-38,727,224","-36,939,941","-41,407,420"
"EC",22,"-23,505,172","-21,514,349","-23,505,172","-21,514,349","-24,584,811"
"EDC",4,0,"7,054,193",0,"7,054,193","6,319,446"
"EDC",10,0,"47,284,811",0,"47,284,811","224,760,863"
"EDC",12,0,"-1,091",0,"-1,091","112,221"
"FBCL",12,"417,103","13,994,307","417,103","13,994,307","18,185,400"
"FEDSO",1,"17,901,331","21,582,294","17,901,331","21,582,294","22,106,626"
"FEDSO",2,"2,348,671","1,203,897","2,348,671","1,203,897","1,367,638"
"FEDSO",3,"194,633","209,466","194,633","209,466","311,300"
"FEDSO",4,"8,072,127","5,993,638","8,072,127","5,993,638","3,398,586"
"FEDSO",5,"209,063","789,380","209,063","789,380","2,024,031"
"FEDSO",6,"1,681,363","159,717","1,681,363","159,717","21,199"
"FEDSO",7,"220,574","187,500","220,574","187,500","124,535"
"FEDSO",8,0,0,0,0,"109,346"
"FEDSO",9,"1,240,929","221,476","1,240,929","221,476","599,113"
"FEDSO",10,"373,639,782","200,104,609","373,639,782","200,104,609","212,041,526"
"FEDSO",12,"94,443","7,831","94,443","7,831","-382,933"
"FIN",1,"94,425,803","92,302,580","94,425,803","92,302,580","92,443,398"
"FIN",2,"5,047,079","3,591,253","5,047,079","3,591,253","2,779,800"
"FIN",3,"5,748,523","9,698,735","5,748,523","9,698,735","16,069,485"
"FIN",4,"16,493,787","13,893,649","16,493,787","13,893,649","16,818,595"
"FIN",5,"531,833","397,695","531,833","397,695","1,899,989"
"FIN",6,"554,158","421,668","554,158","421,668","44,888"
"FIN",7,"102,623,743","115,284,173","102,623,743","115,284,173","131,598,922"
"FIN",9,"2,194,152","8,026,087","2,194,152","8,026,087","1,058,881"
"FIN",10,"55,462,791,822","55,991,090,366","55,462,791,822","55,991,090,366","57,358,967,333"
"FIN",11,"27,863,847,695","27,881,332,474","27,863,847,695","27,881,332,474","25,982,206,931"
"FIN",12,"207,710,479","26,076,395","207,710,479","26,076,395","36,713,224"
"FIN",22,0,"-185,075",0,"-185,075",0
"FCAC",1,"6,433,516","7,230,871","6,433,516","7,230,871","7,749,962"
"FCAC",2,"341,358","394,516","341,358","394,516","400,227"
"FCAC",3,"268,332","195,247","268,332","195,247","363,827"
"FCAC",4,"3,602,567","2,848,826","3,602,567","2,848,826","3,184,438"
"FCAC",5,"546,282","795,951","546,282","795,951","873,052"
"FCAC",6,"41,095","57,169","41,095","57,169","1,297"
"FCAC",7,"66,404","82,876","66,404","82,876","55,638"
"FCAC",8,"103,432","260,474","103,432","260,474",0
"FCAC",9,"200,387","351,026","200,387","351,026","203,278"
"FCAC",12,"25,926","65,041","25,926","65,041","58,836"
"FTRAC",1,"32,859,675","42,765,015","32,859,675","42,765,015","37,838,322"
"FTRAC",2,"1,632,156","1,591,671","1,632,156","1,591,671","1,138,842"
"FTRAC",3,"168,475","178,053","168,475","178,053","185,192"
"FTRAC",4,"3,798,296","4,217,679","3,798,296","4,217,679","4,164,671"
"FTRAC",5,"3,580,403","4,019,732","3,580,403","4,019,732","6,245,978"
"FTRAC",6,"3,740,035","3,298,340","3,740,035","3,298,340","1,681,554"
"FTRAC",7,"502,018","430,155","502,018","430,155","452,036"
"FTRAC",9,"3,821,508","2,721,835","3,821,508","2,721,835","1,984,510"
"FTRAC",10,"800,000",0,"800,000",0,0
"FTRAC",12,"25,381","5,600","25,381","5,600","302,466"
"FNSI",12,"2,615,000","3,957,000","2,615,000","3,957,000","2,028,410"
"FO",1,"963,710,613","1,005,425,763","963,710,613","1,005,425,763","987,298,468"
"FO",2,"77,342,151","70,620,788","77,342,151","70,620,788","58,867,475"
"FO",3,"3,964,760","2,857,589","3,964,760","2,857,589","2,326,351"
"FO",4,"255,415,570","221,075,790","255,415,570","221,075,790","213,340,543"
"FO",5,"15,059,787","15,017,595","15,059,787","15,017,595","16,286,145"
"FO",6,"283,332,702","195,499,191","283,332,702","195,499,191","159,673,632"
"FO",7,"90,255,150","102,422,151","90,255,150","102,422,151","102,526,818"
"FO",8,"38,406,075","40,349,176","38,406,075","40,349,176","19,741,909"
"FO",9,"160,465,090","123,181,073","160,465,090","123,181,073","151,850,630"
"FO",10,"127,009,109","128,647,360","127,009,109","128,647,360","88,186,047"
"FO",12,"16,315,336","16,017,712","16,315,336","16,017,712","18,435,908"
"FO",21,"-38,358,070","-40,210,821","-38,358,070","-40,210,821","-41,428,683"
"FO",22,"-18,793","-20,601","-18,793","-20,601",0
"EA",1,"1,043,182,010","1,145,477,776","1,043,182,010","1,145,477,776","1,114,315,468"
"EA",2,"203,565,168","180,953,805","203,565,168","180,953,805","143,791,849"
"EA",3,"25,661,816","16,716,142","25,661,816","16,716,142","12,790,426"
"EA",4,"267,600,256","247,321,331","267,600,256","247,321,331","267,665,313"
"EA",5,"205,105,930","193,981,705","205,105,930","193,981,705","200,676,605"
"EA",6,"46,015,293","48,717,678","46,015,293","48,717,678","31,955,331"
"EA",7,"68,995,491","65,765,382","68,995,491","65,765,382","77,240,995"
"EA",8,"80,334,110","52,103,693","80,334,110","52,103,693","174,609,941"
"EA",9,"79,153,223","83,016,206","79,153,223","83,016,206","50,478,791"
"EA",10,"806,056,750","781,937,239","806,056,750","781,937,239","672,515,065"
"EA",12,"324,703,120","6,048,722","324,703,120","6,048,722","4,838,395"
"EA",21,"-294,156,159","-324,449,297","-294,156,159","-324,449,297","-349,031,415"
"EA",22,"-14,429,545","-15,124,815","-14,429,545","-15,124,815","-6,967,652"
"GG",1,"15,517,588","16,635,193","15,517,588","16,635,193","15,006,510"
"GG",2,"1,074,838","1,079,268","1,074,838","1,079,268","1,079,253"
"GG",3,"308,472","385,338","308,472","385,338","398,606"
"GG",4,"1,309,307","1,514,500","1,309,307","1,514,500","1,781,887"
"GG",5,"148,954","98,860","148,954","98,860","357,725"
"GG",6,"187,511","322,124","187,511","322,124","29,918"
"GG",7,"869,159","830,413","869,159","830,413","747,256"
"GG",9,"355,930","303,825","355,930","303,825","754,535"
"GG",10,"450,004","523,069","450,004","523,069","536,517"
"GG",12,"2,033","34,800","2,033","34,800","136,681"
"HMIRC",1,"4,332,887","4,181,139","4,332,887","4,181,139","4,139,618"
"HMIRC",2,"81,693","61,312","81,693","61,312","58,118"
"HMIRC",3,"11,489","31,840","11,489","31,840","22,971"
"HMIRC",4,"1,547,694","170,166","1,547,694","170,166","551,709"
"HMIRC",5,"24,965","18,898","24,965","18,898","15,790"
"HMIRC",6,"2,935","2,839","2,935","2,839","3,542"
"HMIRC",7,"45,198","63,182","45,198","63,182","86,875"
"HMIRC",9,"13,598","1,579","13,598","1,579","6,748"
"HMIRC",12,"5,910",14,"5,910",14,0
"H",1,"921,644,561","976,446,744","921,644,561","976,446,744","994,097,552"
"H",2,"223,934,147","235,396,417","223,934,147","235,396,417","231,564,126"
"H",3,"23,757,810","15,867,154","23,757,810","15,867,154","18,177,374"
"H",4,"493,173,812","482,269,682","493,173,812","482,269,682","492,558,284"
"H",5,"14,767,428","12,946,359","14,767,428","12,946,359","19,612,642"
"H",6,"35,658,923","40,862,160","35,658,923","40,862,160","25,777,278"
"H",7,"450,039,176","456,550,575","450,039,176","456,550,575","458,935,176"
"H",8,"3,866,061","3,608,161","3,866,061","3,608,161","9,124,314"
"H",9,"56,796,417","61,934,343","56,796,417","61,934,343","43,122,986"
"H",10,"1,610,098,799","1,599,761,958","1,610,098,799","1,599,761,958","1,632,902,797"
"H",12,"-4,824,369","-5,069,801","-4,824,369","-5,069,801","3,487,697"
"H",21,"-67,822,214","-85,246,509","-67,822,214","-85,246,509","-93,076,279"
"H",22,"-8,515,698","-9,027,555","-8,515,698","-9,027,555","-15,125,862"
"HC",1,"315,556,527","323,957,428","315,556,527","323,957,428","329,085,507"
"HC",2,"49,584,439","44,727,731","49,584,439","44,727,731","41,947,295"
"HC",3,"8,241,673","5,959,314","8,241,673","5,959,314","6,417,052"
"HC",4,"17,563,386","17,536,360","17,563,386","17,536,360","15,583,409"
"HC",5,"9,903,345","10,718,420","9,903,345","10,718,420","10,554,685"
"HC",6,"5,793,720","6,577,967","5,793,720","6,577,967","5,764,448"
"HC",7,"6,202,698","6,756,584","6,202,698","6,756,584","7,203,904"
"HC",9,"11,179,547","10,564,874","11,179,547","10,564,874","13,418,516"
"HC",10,"884,634","886,467","884,634","886,467","870,013"
"HC",12,"483,266","312,515","483,266","312,515","59,201"
"HC",21,"-1,160,205","-775,458","-1,160,205","-775,458","-984,908"
"HC",22,"30,923","12,705","30,923","12,705","17,851"
"HRSD",1,"1,991,581,610","2,096,953,263","1,991,581,610","2,096,953,263","1,944,507,274"
"HRSD",2,"144,138,952","108,493,578","144,138,952","108,493,578","67,012,657"
"HRSD",3,"27,960,005","20,807,222","27,960,005","20,807,222","67,809,659"
"HRSD",4,"556,112,422","609,707,122","556,112,422","609,707,122","640,727,249"
"HRSD",5,"220,601,920","202,323,562","220,601,920","202,323,562","241,266,272"
"HRSD",6,"42,116,919","24,075,245","42,116,919","24,075,245","7,942,266"
"HRSD",7,"13,593,266","10,146,125","13,593,266","10,146,125","8,919,230"
"HRSD",9,"56,621,863","33,381,885","56,621,863","33,381,885","19,494,731"
"HRSD",10,"45,170,549,695","44,484,063,496","45,170,549,695","44,484,063,496","47,169,332,326"
"HRSD",12,"3,589,613","304,426,240","3,589,613","304,426,240","261,581,564"
"HRSD",21,"-376,298,439","-407,780,382","-376,298,439","-407,780,382","-527,953,444"
"HRSD",22,"-1,544,376,246","-1,533,145,469","-1,544,376,246","-1,533,145,469","-1,465,675,158"
"IRB",1,"94,044,407","108,866,790","94,044,407","108,866,790","101,558,363"
"IRB",2,"4,277,829","3,855,589","4,277,829","3,855,589","3,160,009"
"IRB",3,"49,423","165,883","49,423","165,883","565,631"
"IRB",4,"18,275,948","21,423,315","18,275,948","21,423,315","19,758,159"
"IRB",5,"879,353","415,911","879,353","415,911","1,470,599"
"IRB",6,"2,113,438","3,413,773","2,113,438","3,413,773","3,845,622"
"IRB",7,"759,632","736,380","759,632","736,380","657,408"
"IRB",9,"4,873,843","1,763,226","4,873,843","1,763,226","2,999,821"
"IRB",12,"284,709","167,756","284,709","167,756","242,832"
"INAC",1,"486,242,870","537,754,945","486,242,870","537,754,945","506,595,857"
"INAC",2,"51,216,998","40,813,635","51,216,998","40,813,635","31,137,678"
"INAC",3,"11,888,819","17,777,998","11,888,819","17,777,998","14,451,250"
"INAC",4,"374,216,447","315,789,302","374,216,447","315,789,302","291,191,889"
"INAC",5,"11,312,219","10,489,144","11,312,219","10,489,144","13,675,444"
"INAC",6,"5,217,400","3,530,564","5,217,400","3,530,564","2,580,853"
"INAC",7,"8,048,290","7,329,593","8,048,290","7,329,593","6,253,799"
"INAC",8,"403,905","184,095","403,905","184,095","5,502,953"
"INAC",9,"19,834,783","16,304,158","19,834,783","16,304,158","10,243,667"
"INAC",10,"6,676,405,220","6,453,895,545","6,676,405,220","6,453,895,545","6,729,717,214"
"INAC",12,"532,219,680","477,658,080","532,219,680","477,658,080","483,791,737"
"INAC",22,0,"-643,920",0,"-643,920",0
"TRC",1,"4,187,230","5,929,492","4,187,230","5,929,492","4,898,144"
"TRC",2,"1,639,477","2,027,510","1,639,477","2,027,510","995,514"
"TRC",3,"572,900","5,370,949","572,900","5,370,949","1,944,663"
"TRC",4,"3,340,292","4,345,241","3,340,292","4,345,241","3,053,689"
"TRC",5,"499,220","890,883","499,220","890,883","849,350"
"TRC",6,"5,728","9,068","5,728","9,068","1,646"
"TRC",7,"96,185","73,850","96,185","73,850","25,616"
"TRC",8,"14,056",0,"14,056",0,0
"TRC",9,"267,486","594,024","267,486","594,024","40,803"
"TRC",12,"10,923","4,136","10,923","4,136","8,890"
"ISC",1,"530,634,009","535,423,278","530,634,009","535,423,278","513,169,813"
"ISC",2,"26,296,576","18,658,817","26,296,576","18,658,817","12,411,396"
"ISC",3,"3,851,319","3,510,712","3,851,319","3,510,712","3,463,274"
"ISC",4,"90,845,643","85,111,914","90,845,643","85,111,914","92,826,364"
"ISC",5,"10,885,162","10,331,767","10,885,162","10,331,767","12,987,875"
"ISC",6,"16,088,140","12,812,153","16,088,140","12,812,153","5,737,676"
"ISC",7,"7,559,160","6,631,651","7,559,160","6,631,651","5,896,113"
"ISC",8,"1,133,074","306,959","1,133,074","306,959","313,604"
"ISC",9,"17,254,267","16,425,198","17,254,267","16,425,198","16,442,492"
"ISC",10,"1,564,203,461","973,039,997","1,564,203,461","973,039,997","881,985,667"
"ISC",12,"-3,291,268","2,669,820","-3,291,268","2,669,820","31,738,481"
"ISC",21,"-200,277,075","-203,674,871","-200,277,075","-203,674,871","-204,721,212"
"ISC",22,"-10,184,873","-14,537,216","-10,184,873","-14,537,216","-14,668,825"
"IDRC",12,"195,917,432","237,907,649","195,917,432","237,907,649","156,223,043"
"IJC",1,"3,292,927","3,768,420","3,292,927","3,768,420","3,739,750"
"IJC",2,"666,915","790,137","666,915","790,137","512,265"
"IJC",3,"22,146","71,135","22,146","71,135","23,538"
"IJC",4,"3,761,227","2,270,379","3,761,227","2,270,379","1,545,060"
"IJC",5,"344,988","414,945","344,988","414,945","403,246"
"IJC",6,"29,494","48,041","29,494","48,041","18,918"
"IJC",7,"65,573","71,414","65,573","71,414","41,411"
"IJC",9,"358,975","593,142","358,975","593,142","173,953"
"IJC",12,"60,825","23,484","60,825","23,484","49,356"
"JUS",1,"564,166,619","577,302,006","564,166,619","577,302,006","569,597,175"
"JUS",2,"18,592,278","14,108,550","18,592,278","14,108,550","9,957,880"
"JUS",3,"8,781,772","3,118,559","8,781,772","3,118,559","3,091,243"
"JUS",4,"47,620,176","42,444,838","47,620,176","42,444,838","37,815,589"
"JUS",5,"4,498,148","5,167,088","4,498,148","5,167,088","6,161,896"
"JUS",6,"8,117,498","10,666,612","8,117,498","10,666,612","4,373,384"
"JUS",7,"5,569,017","5,279,949","5,569,017","5,279,949","4,365,864"
"JUS",9,"8,027,726","12,218,436","8,027,726","12,218,436","8,194,063"
"JUS",10,"385,764,244","381,614,514","385,764,244","381,614,514","384,330,338"
"JUS",12,"-1,494,576","2,226,405","-1,494,576","2,226,405","1,557,581"
"JUS",21,"-696,725","-649,922","-696,725","-649,922","-849,823"
"JUS",22,"-287,463,047","-308,489,271","-287,463,047","-308,489,271","-294,612,341"
"LAC",1,"83,665,561","90,343,767","83,665,561","90,343,767","88,726,510"
"LAC",2,"2,620,331","1,913,509","2,620,331","1,913,509","860,333"
"LAC",3,"214,043","242,640","214,043","242,640","165,950"
"LAC",4,"10,213,079","9,000,846","10,213,079","9,000,846","6,032,889"
"LAC",5,"2,729,915","2,649,039","2,729,915","2,649,039","1,839,049"
"LAC",6,"1,851,667","1,504,725","1,851,667","1,504,725","900,946"
"LAC",7,"1,601,843","1,407,636","1,601,843","1,407,636","807,265"
"LAC",8,"2,912,142","755,452","2,912,142","755,452","11,925,548"
"LAC",9,"4,716,321","2,466,309","4,716,321","2,466,309","7,590,093"
"LAC",10,"1,744,146","1,777,033","1,744,146","1,777,033","34,934"
"LAC",12,"-11,137","266,821","-11,137","266,821","291,489"
"LAC",21,"-392,171","-306,415","-392,171","-306,415","-251,773"
"LP",1,"34,509,493","34,458,543","34,509,493","34,458,543","37,695,804"
"LP",2,"678,640","667,020","678,640","667,020","602,437"
"LP",3,"221,444","523,020","221,444","523,020","527,633"
"LP",4,"3,330,253","2,653,164","3,330,253","2,653,164","2,583,727"
"LP",5,"243,762","206,140","243,762","206,140","621,162"
"LP",6,"332,856","536,597","332,856","536,597","47,070"
"LP",7,"2,584,696","2,655,639","2,584,696","2,655,639","2,349,861"
"LP",9,"840,794","447,181","840,794","447,181","732,950"
"LP",12,549,0,549,0,"-29,569"
"LP",21,"-820,917","-839,700","-820,917","-839,700","-703,122"
"CNMI",12,"210,927,022","183,290,595","210,927,022","183,290,595","184,876,000"
"MPCC",1,"1,680,591","1,812,745","1,680,591","1,812,745","2,222,588"
"MPCC",2,"184,940","217,289","184,940","217,289","250,403"
"MPCC",3,"8,166","55,787","8,166","55,787","23,967"
"MPCC",4,"1,996,470","2,426,967","1,996,470","2,426,967","2,223,891"
"MPCC",5,"255,636","263,133","255,636","263,133","424,565"
"MPCC",6,"6,365","2,093","6,365","2,093","1,975"
"MPCC",7,"52,994","65,998","52,994","65,998","58,852"
"MPCC",9,"237,254","75,693","237,254","75,693","49,807"
"MPCC",12,675,"3,216",675,"3,216","45,442"
"NAC",12,"36,131,175","35,781,174","36,131,175","35,781,174","35,601,174"
"NBC",1,"3,840,573","3,952,350","3,840,573","3,952,350","4,140,346"
"NBC",2,"110,503","130,640","110,503","130,640","126,997"
"NBC",3,"552,274","315,149","552,274","315,149","328,374"
"NBC",4,"616,958","702,636","616,958","702,636","797,953"
"NBC",5,"247,581","69,346","247,581","69,346","75,097"
"NBC",6,"785,327","782,570","785,327","782,570","517,453"
"NBC",7,"924,643","714,722","924,643","714,722","788,880"
"NBC",8,"270,551","638,567","270,551","638,567","143,069"
"NBC",9,"387,415","286,863","387,415","286,863","470,537"
"NBC",12,"2,152,817","2,211,511","2,152,817","2,211,511","2,234,436"
"NCC",12,"158,315,314","107,486,096","158,315,314","107,486,096","108,833,873"
"ND",1,"9,397,799,573","9,758,532,932","9,397,799,573","9,758,532,932","10,438,096,396"
"ND",2,"872,220,696","852,650,290","872,220,696","852,650,290","768,057,498"
"ND",3,"27,535,284","15,965,925","27,535,284","15,965,925","13,666,049"
"ND",4,"2,893,259,411","3,243,210,066","2,893,259,411","3,243,210,066","2,982,037,695"
"ND",5,"481,416,654","598,509,400","481,416,654","598,509,400","383,972,397"
"ND",6,"1,426,776,839","1,508,569,975","1,426,776,839","1,508,569,975","1,465,091,224"
"ND",7,"1,120,142,344","1,140,085,715","1,120,142,344","1,140,085,715","1,017,830,627"
"ND",8,"345,517,810","427,614,856","345,517,810","427,614,856","500,631,208"
"ND",9,"3,664,649,748","2,637,310,788","3,664,649,748","2,637,310,788","2,434,608,781"
"ND",10,"266,330,609","209,746,121","266,330,609","209,746,121","181,704,968"
"ND",12,"217,575,768","215,169,856","217,575,768","215,169,856","221,561,475"
"ND",21,"-399,191,665","-373,899,683","-399,191,665","-373,899,683","-395,139,162"
"ND",22,"-15,776,288","-14,708,379","-15,776,288","-14,708,379","-33,929,023"
"NEB",1,"47,027,204","50,147,523","47,027,204","50,147,523","52,795,719"
"NEB",2,"3,138,363","3,581,892","3,138,363","3,581,892","3,907,171"
"NEB",3,"541,587","407,703","541,587","407,703","890,659"
"NEB",4,"5,568,088","6,549,962","5,568,088","6,549,962","8,205,132"
"NEB",5,"346,650","585,719","346,650","585,719","671,745"
"NEB",6,"740,050","539,214","740,050","539,214","659,952"
"NEB",7,"484,497","545,783","484,497","545,783","493,263"
"NEB",8,"95,858","26,080","95,858","26,080",0
"NEB",9,"900,278","1,768,826","900,278","1,768,826","1,778,061"
"NEB",10,0,"201,886",0,"201,886","122,719"
"NEB",12,"9,444","21,025","9,444","21,025","21,220"
"NFB",1,"38,922,361","39,105,486","38,922,361","39,105,486","41,783,967"
"NFB",2,"3,393,689","3,136,857","3,393,689","3,136,857","3,241,775"
"NFB",3,"567,256","1,453,936","567,256","1,453,936","1,315,792"
"NFB",4,"14,219,211","14,519,910","14,219,211","14,519,910","12,293,581"
"NFB",5,"8,930,400","8,037,979","8,930,400","8,037,979","8,657,356"
"NFB",6,"1,465,477","1,382,642","1,465,477","1,382,642","1,235,969"
"NFB",7,"1,366,733","1,121,019","1,366,733","1,121,019","879,233"
"NFB",9,"3,534,023","2,948,148","3,534,023","2,948,148","2,706,990"
"NFB",10,"251,800","250,000","251,800","250,000","191,940"
"NFB",12,"-537,234","848,120","-537,234","848,120","736,796"
"NFB",21,"-4,603,532","-5,890,285","-4,603,532","-5,890,285","-4,143,459"
"NFB",22,"-103,037","-61,235","-103,037","-61,235","-148,079"
"NGC",12,"51,102,120","49,586,146","51,102,120","49,586,146","48,830,762"
"NMST",12,"35,371,192","30,304,286","35,371,192","30,304,286","31,517,304"
"NPB",1,"39,438,730","46,694,678","39,438,730","46,694,678","43,687,990"
"NPB",2,"3,157,572","3,291,455","3,157,572","3,291,455","2,810,730"
"NPB",3,"86,822","116,758","86,822","116,758","294,777"
"NPB",4,"2,836,968","3,080,652","2,836,968","3,080,652","3,229,137"
"NPB",5,"165,420","195,399","165,420","195,399","248,133"
"NPB",6,"72,045","89,845","72,045","89,845","276,918"
"NPB",7,"370,945","326,017","370,945","326,017","310,963"
"NPB",9,"687,978","707,877","687,978","707,877","1,060,811"
"NPB",12,"15,989","35,766","15,989","35,766","3,645"
"NPB",21,"-837,621","-2,350,016","-837,621","-2,350,016","-5,411,312"
"NRC",1,"429,886,762","405,465,186","429,886,762","405,465,186","401,847,559"
"NRC",2,"19,369,776","15,000,445","19,369,776","15,000,445","13,030,590"
"NRC",3,"5,458,138","2,048,575","5,458,138","2,048,575","1,813,004"
"NRC",4,"43,176,638","38,352,087","43,176,638","38,352,087","33,664,215"
"NRC",5,"4,195,118","3,998,080","4,195,118","3,998,080","4,372,172"
"NRC",6,"18,172,040","18,122,031","18,172,040","18,122,031","19,711,352"
"NRC",7,"45,792,219","43,172,232","45,792,219","43,172,232","46,173,718"
"NRC",8,"20,979,454","16,966,922","20,979,454","16,966,922","21,953,370"
"NRC",9,"65,896,492","52,985,067","65,896,492","52,985,067","42,025,409"
"NRC",10,"290,897,153","148,000,687","290,897,153","148,000,687","253,239,559"
"NRC",12,"-40,525,398","-45,607,729","-40,525,398","-45,607,729","-33,026,036"
"NRTEE",1,"3,371,776","3,595,155","3,371,776","3,595,155","4,849,822"
"NRTEE",2,"308,952","320,413","308,952","320,413","93,185"
"NRTEE",3,"321,975","213,765","321,975","213,765","92,149"
"NRTEE",4,"982,267","1,042,885","982,267","1,042,885","368,295"
"NRTEE",5,"38,549","30,774","38,549","30,774","21,653"
"NRTEE",6,"44,416","61,251","44,416","61,251","1,013"
"NRTEE",7,"31,543","29,141","31,543","29,141","4,860"
"NRTEE",9,"46,318","65,726","46,318","65,726","2,808"
"NRTEE",12,"6,344","4,687","6,344","4,687","9,614"
"NR",1,"458,264,333","461,058,960","458,264,333","461,058,960","456,772,739"
"NR",2,"35,075,651","24,210,052","35,075,651","24,210,052","16,977,701"
"NR",3,"6,282,040","10,769,576","6,282,040","10,769,576","14,171,176"
"NR",4,"310,888,137","266,429,468","310,888,137","266,429,468","268,025,669"
"NR",5,"29,572,994","19,021,258","29,572,994","19,021,258","18,886,626"
"NR",6,"8,217,195","6,548,717","8,217,195","6,548,717","4,985,271"
"NR",7,"22,656,465","19,802,868","22,656,465","19,802,868","26,128,058"
"NR",8,"18,469,064","12,860,453","18,469,064","12,860,453","9,417,774"
"NR",9,"35,568,403","26,945,055","35,568,403","26,945,055","30,542,440"
"NR",10,"3,449,809,165","2,508,639,178","3,449,809,165","2,508,639,178","1,108,421,542"
"NR",12,"13,969,676","20,950,768","13,969,676","20,950,768","38,355,726"
"NR",21,"-28,519,797","-22,427,826","-28,519,797","-22,427,826","-22,920,478"
"NR",22,"-3,224,359","-2,635,924","-3,224,359","-2,635,924","-2,953,281"
"NSERC",1,"34,170,727","37,335,456","34,170,727","37,335,456","40,671,700"
"NSERC",2,"3,858,332","3,624,836","3,858,332","3,624,836","3,155,457"
"NSERC",3,"420,508","334,476","420,508","334,476","575,088"
"NSERC",4,"7,523,993","5,820,594","7,523,993","5,820,594","4,177,043"
"NSERC",5,"398,926","430,947","398,926","430,947","948,303"
"NSERC",6,"1,125,421","129,860","1,125,421","129,860","580,692"
"NSERC",7,"383,202","281,720","383,202","281,720","281,102"
"NSERC",9,"1,216,724","1,963,287","1,216,724","1,963,287","2,849,947"
"NSERC",10,"1,027,176,657","1,036,165,487","1,027,176,657","1,036,165,487","1,022,729,219"
"NSERC",12,"-330,576","-349,070","-330,576","-349,070","12,721"
"NPA",1,"582,830","1,026,834","582,830","1,026,834","1,331,658"
"NPA",2,"103,344","123,078","103,344","123,078","68,365"
"NPA",3,"1,295",570,"1,295",570,"1,255"
"NPA",4,"229,842","232,146","229,842","232,146","348,784"
"NPA",5,"40,474","42,082","40,474","42,082","17,463"
"NPA",6,0,0,0,0,60
"NPA",7,"6,693","4,101","6,693","4,101","6,540"
"NPA",9,"26,313","7,291","26,313","7,291","10,257"
"NPA",10,0,"671,511",0,"671,511","135,946"
"NPA",12,"133,765",0,"133,765",0,-185
"OICC",1,"34,572,040","37,500,246","34,572,040","37,500,246","35,264,982"
"OICC",2,"1,097,093","684,115","1,097,093","684,115","482,969"
"OICC",3,"860,984","322,872","860,984","322,872","280,638"
"OICC",4,"15,822,919","17,085,791","15,822,919","17,085,791","7,903,394"
"OICC",5,"4,439,584","3,868,927","4,439,584","3,868,927","4,906,293"
"OICC",6,"4,250,118","794,528","4,250,118","794,528","9,180"
"OICC",7,"177,001","105,206","177,001","105,206","74,215"
"OICC",9,"4,144,959","408,212","4,144,959","408,212","207,780"
"OICC",10,"6,183,392,768","4,476,414,755","6,183,392,768","4,476,414,755","3,702,235,996"
"OICC",12,"3,033,268","2,925,623","3,033,268","2,925,623","1,290,945"
"SWC",1,"8,993,462","9,360,869","8,993,462","9,360,869","9,262,137"
"SWC",2,"481,773","454,617","481,773","454,617","390,622"
"SWC",3,"87,072","125,967","87,072","125,967","298,517"
"SWC",4,"802,443","938,737","802,443","938,737","612,482"
"SWC",5,"46,717","55,622","46,717","55,622","124,834"
"SWC",6,"80,835","59,263","80,835","59,263","9,170"
"SWC",7,"53,276","46,155","53,276","46,155","29,630"
"SWC",9,"149,426","108,119","149,426","108,119","112,994"
"SWC",10,"19,545,445","18,285,051","19,545,445","18,285,051","18,887,046"
"SWC",12,"1,298",425,"1,298",425,754
"ORL",1,"2,777,880","3,083,754","2,777,880","3,083,754","2,988,216"
"ORL",2,"120,886","104,938","120,886","104,938","58,920"
"ORL",3,"16,491","15,982","16,491","15,982","26,064"
"ORL",4,"1,555,852","1,279,290","1,555,852","1,279,290","1,578,548"
"ORL",5,"46,966","15,298","46,966","15,298","52,354"
"ORL",6,"3,837","53,080","3,837","53,080",0
"ORL",7,"46,601","48,316","46,601","48,316","13,618"
"ORL",8,"50,711",518,"50,711",518,0
"ORL",9,"65,161","260,384","65,161","260,384","27,535"
"ORL",12,"1,549",29,"1,549",29,59
"OCOL",1,"15,601,960","17,777,734","15,601,960","17,777,734","16,346,833"
"OCOL",2,"908,725","891,135","908,725","891,135","696,964"
"OCOL",3,"180,014","116,153","180,014","116,153","212,471"
"OCOL",4,"3,704,593","2,799,934","3,704,593","2,799,934","2,945,193"
